Energy (MeV),Uncovered 2pi (cm-2 MeV-1),50um (0.05mm) 2pi (cm-2 MeV-1),100um (0.10mm) 2pi (cm-2 MeV-1),150um (0.15mm) 2pi (cm-2 MeV-1),200um (0.20mm) 2pi (cm-2 MeV-1)
6.368250E+01,5.799966E+05,5.750435E+05,5.710686E+05,5.673223E+05,5.638322E+05
6.905514E+01,4.219344E+05,4.185989E+05,4.158907E+05,4.133544E+05,4.109602E+05
7.488104E+01,2.915209E+05,2.892043E+05,2.873593E+05,2.856380E+05,2.840155E+05
8.119845E+01,1.993331E+05,1.979022E+05,1.967724E+05,1.957124E+05,1.947092E+05
8.804884E+01,1.362978E+05,1.354128E+05,1.347218E+05,1.340700E+05,1.334507E+05
9.547716E+01,9.319629E+04,9.264804E+04,9.221957E+04,9.180782E+04,9.141826E+04
1.035322E+02,6.158148E+04,6.120433E+04,6.091165E+04,6.063439E+04,6.037015E+04
1.122668E+02,3.887682E+04,3.866092E+04,3.849597E+04,3.833894E+04,3.818871E+04
1.217383E+02,2.454321E+04,2.441938E+04,2.432651E+04,2.423769E+04,2.415240E+04
1.320088E+02,1.549430E+04,1.542312E+04,1.537089E+04,1.532071E+04,1.527236E+04
1.431459E+02,9.781661E+03,9.740651E+03,9.711293E+03,9.682960E+03,9.655157E+03
1.552225E+02,6.060206E+03,6.035498E+03,6.017948E+03,6.000998E+03,5.984587E+03
1.683180E+02,3.659340E+03,3.645678E+03,3.636254E+03,3.627120E+03,3.618249E+03
1.825183E+02,2.209623E+03,2.202047E+03,2.196990E+03,2.192072E+03,2.187283E+03
1.979167E+02,1.334239E+03,1.330025E+03,1.327206E+03,1.324452E+03,1.321743E+03
2.146141E+02,7.371107E+02,7.347084E+02,7.331382E+02,7.316077E+02,7.301139E+02
2.327202E+02,4.018818E+02,4.006730E+02,3.999130E+02,3.991702E+02,3.984434E+02
2.523539E+02,2.191109E+02,2.185006E+02,2.181330E+02,2.177727E+02,2.174195E+02
2.736440E+02,1.194619E+02,1.191528E+02,1.189750E+02,1.188004E+02,1.186289E+02
2.967302E+02,6.513209E+01,6.497495E+01,6.488902E+01,6.480187E+01,6.471616E+01
3.217642E+02,3.276602E+01,3.268651E+01,3.264282E+01,3.259983E+01,3.255750E+01
3.489101E+02,1.627742E+01,1.624047E+01,1.622124E+01,1.620228E+01,1.618358E+01
3.783463E+02,8.086256E+00,8.069020E+00,8.060555E+00,8.052197E+00,8.043942E+00
4.102658E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
4.448783E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
4.824109E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
5.231099E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
5.672426E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
6.150986E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
6.669920E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
7.232634E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
7.842822E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
8.504489E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
9.221979E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
1.000000E+03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
